,tweet_id,retweet_count,favourite_count
0,848213670039564288,720,8084
0,848212111729840128,2993,16139
0,847978865427394560,3210,0
0,847971574464610304,425,0
0,847962785489326080,5002,23258
0,847842811428974592,1314,5385
0,847617282490613760,409,6920
0,847606175596138505,3380,18572
0,847251039262605312,4258,20300
0,847157206088847362,5765,19701
0,847116187444137987,3137,21271
0,846874817362120707,3882,19923
0,846514051647705089,11415,44261
0,846505985330044928,3033,13989
0,846153765933735936,8933,31369
0,846139713627017216,9894,30792
0,846042936437604353,2834,15862
0,845812042753855489,8604,29014
0,845677943972139009,4741,25017
0,845397057150107648,1786,7588
0,845306882940190720,5336,23182
0,845098359547420673,7573,0
0,844979544864018432,2530,13555
0,844973813909606400,3157,14991
0,844580511645339650,3099,16379
0,844223788422217728,2179,13574
0,843981021012017153,2920,15107
0,843856843873095681,4580,21358
0,843604394117681152,2724,16801
0,843235543001513987,5982,21421
0,842846295480000512,3614,15233
0,842765311967449089,1271,6707
0,842535590457499648,3481,18045
0,842163532590374912,5755,24365
0,842115215311396866,3014,13940
0,841833993020538882,14993,0
0,841680585030541313,7770,25658
0,841439858740625411,3670,12630
0,841320156043304961,5480,19764
0,841314665196081154,4627,15810
0,841077006473256960,5289,22832
0,840761248237133825,1762,0
0,840728873075638272,16073,0
0,840698636975636481,2,174
0,840696689258311684,969,12276
0,840632337062862849,1762,8998
0,840370681858686976,4525,16441
0,840268004936019968,5708,19240
0,839990271299457024,2271,13407
0,839549326359670784,7726,27466
0,839290600511926273,143,0
0,839239871831150596,6522,27108
0,838952994649550848,3991,19654
0,838921590096166913,2060,11161
0,838916489579200512,35,0
0,838831947270979586,10986,0
0,838561493054533637,1336,10952
0,838476387338051585,4769,22525
0,838201503651401729,10055,0
0,838150277551247360,332,1678
0,838085839343206401,1,140
0,838083903487373313,3137,17651
0,837820167694528512,7854,34185
0,837482249356513284,443,3853
0,837471256429613056,2276,12835
0,837110210464448512,2367,16106
0,836989968035819520,2294,12797
0,836753516572119041,4649,19368
0,836677758902222849,2229,12645
0,836648853927522308,555,0
0,836397794269200385,27537,0
0,836380477523124226,2995,14803
0,836260088725786625,4312,21371
0,836001077879255040,4271,19143
0,835685285446955009,8147,0
0,835574547218894849,3630,17850
0,835536468978302976,1704,0
0,835309094223372289,20996,0
0,835297930240217089,3024,16531
0,835264098648616962,1704,7770
0,835246439529840640,73,2110
0,835172783151792128,5784,26270
0,835152434251116546,3028,22505
0,834931633769889797,1650,10849
0,834786237630337024,5516,21431
0,834574053763584002,2548,13723
0,834477809192075265,10690,0
0,834458053273591808,1691,9664
0,834209720923721728,4772,20689
0,834167344700198914,3675,15896
0,834089966724603904,2147,10105
0,834086379323871233,2219,13138
0,833863086058651648,2419,13490
0,833826103416520705,3791,18137
0,833732339549220864,222,0
0,833722901757046785,3239,20903
0,833479644947025920,2062,14920
0,833124694597443584,4865,20314
0,832998151111966721,2215,13336
0,832769181346996225,39,0
0,832757312314028032,3648,16956
0,832682457690300417,2936,11943
0,832645525019123713,534,2950
0,832636094638288896,2804,15941
0,832397543355072512,2232,12027
0,832369877331693569,3210,17274
0,832273440279240704,2352,11417
0,832215909146226688,6240,0
0,832215726631055365,9396,0
0,832088576586297345,2,62
0,832040443403784192,9689,0
0,832032802820481025,4685,17988
0,831939777352105988,6177,24159
0,831926988323639298,34,338
0,831911600680497154,6553,27802
0,831670449226514432,1836,10513
0,831650051525054464,1940,7195
0,831552930092285952,2328,9043
0,831322785565769729,1564,9333
0,831315979191906304,1135,6590
0,831309418084069378,2482,11837
0,831262627380748289,2065,11997
0,830956169170665475,1510,8036
0,830583320585068544,16910,67362
0,830173239259324417,5726,0
0,830097400375152640,2973,9882
0,829878982036299777,5060,0
0,829861396166877184,1966,12329
0,829501995190984704,10690,32011
0,829449946868879360,2042,10546
0,829141528400556032,7415,24599
0,829011960981237760,16437,53532
0,828801551087042563,3445,0
0,828770345708580865,5924,25796
0,828708714936930305,11281,36811
0,828650029636317184,1363,9596
0,828409743546925057,1174,6406
0,828408677031882754,1304,7740
